Applicant's name,Applicant's date of birth,Applicant's contact information,Social Security Number,Loan or insurance policy type,Loan or policy amount,Application date,Application source,Income details,Credit score or credit history,Outstanding debts or liabilities,Identification documents,Employment verification documents,Income verification documents,Details about co-applicants,Property details,Vehicle details,Other asset details,Previous insurance claims history,Previous loan applications or approvals,Geographical data,Risk scores or flags assigned during initial risk assessment,Fraud Indicators,Decision or Outcome,Notes or Comments
Lisa Yu,1978-12-09,"22509 Rice Light
New Stephanie, UT 47204",759-17-2307,Life Insurance,23493,2022-05-13 22:23:07,Online,200439,412,90032,Driver's License,Letter of Employment,Bank Statements,Spouse,Apartment,Sedan,Stocks,No Claims,Previous Applications,Low Risk Area,Medium Risk,Red Flags,Denied,Avoid number memory type which civil affect.
Karen Soto,1984-05-11,"377 James Rapid
Lake Brandontown, FL 13820",613-31-0664,Auto Loan,51878,2022-11-30 20:48:46,In-Person,751192,319,32113,Driver's License,Pay Stub,Tax Return,Spouse,Apartment,Truck,Stocks,Previous Claims,Previous Applications,High Risk Area,Medium Risk,No Indicators,Approved,Throw road town how real certain receive.
Tyler Prince PhD,1977-04-17,"066 Christopher Park Apt. 857
Kaylaville, OK 86652",793-11-8003,Auto Loan,46300,2022-07-20 07:57:53,In-Person,646208,833,97403,Passport,Letter of Employment,Tax Return,None,Apartment,Truck,Jewelry,No Claims,No Applications,Low Risk Area,Medium Risk,Red Flags,Approved,Discussion garden next gun simple.
Derrick Smith,1998-01-30,"61122 Joshua Streets
Brooksland, WI 53246",560-91-3735,Mortgage,27233,2022-04-08 21:44:01,Online,233065,763,74849,Passport,Pay Stub,Bank Statements,None,Condo,SUV,Stocks,No Claims,Previous Applications,High Risk Area,Medium Risk,Red Flags,Denied,Star turn effort summer within wonder physical.
Amber Alexander,1973-09-06,"915 Lowery Crescent
Brianbury, VT 51100",610-77-2837,Life Insurance,44497,2022-12-31 09:23:21,Online,996424,329,44940,Passport,Letter of Employment,Tax Return,Spouse,Condo,SUV,Jewelry,No Claims,No Applications,High Risk Area,Medium Risk,No Indicators,Further Investigation,Direction management loss let behavior store interest.
Bethany Ballard,1970-12-21,"5396 Patterson Branch Suite 927
North Billyberg, MA 15512",,Life Insurance,91427,2022-03-03 07:07:11,In-Person,815029,661,72724,Driver's License,Letter of Employment,Tax Return,Spouse,Apartment,Sedan,Artwork,No Claims,No Applications,High Risk Area,High Risk,Suspicious Activity,Denied,Keep research everyone effect indeed couple several forget.
Pamela Gray,1992-12-18,"0029 Wade Loaf Apt. 043
North Lisa, MD 42984",087-41-1868,Mortgage,38443,2021-12-07 17:38:12,Online,198930,783,86660,Driver's License,Pay Stub,Bank Statements,Child,Single-Family Home,Sedan,Artwork,No Claims,Previous Applications,High Risk Area,Medium Risk,Red Flags,Denied,Population stay plant relate bring throw.
Courtney Harris,1963-07-22,"680 Peters Springs
Emilyfort, TN 53011",576-38-2111,Life Insurance,61775,2020-04-15 20:53:36,In-Person,803347,531,12339,Driver's License,Letter of Employment,Bank Statements,Spouse,Single-Family Home,Truck,Artwork,No Claims,No Applications,High Risk Area,Medium Risk,Red Flags,Further Investigation,Memory be country bit.
Amanda Ramos MD,1997-01-03,"069 Kenneth Glen
Nicholsonburgh, GU 49331",,Life Insurance,29256,2021-11-12 11:43:36,Online,728436,674,63376,Passport,Letter of Employment,Bank Statements,Spouse,Single-Family Home,Sedan,Artwork,No Claims,Previous Applications,High Risk Area,Low Risk,No Indicators,Denied,Building different get deal bit under picture.
Melanie Acosta,1998-10-15,"62462 Jordan Ports
Shanebury, RI 34281",315-03-7436,Auto Loan,50161,2020-02-20 10:48:13,In-Person,596911,818,96380,Driver's License,Letter of Employment,Bank Statements,Child,Condo,SUV,Artwork,No Claims,Previous Applications,High Risk Area,Medium Risk,Red Flags,Denied,Executive wonder authority learn public.
Derrick Juarez,1986-10-22,"8854 Anderson Forest Apt. 313
Lawrenceville, GA 67812",,Mortgage,25996,2020-12-03 13:32:57,In-Person,362040,509,82218,Driver's License,Letter of Employment,Bank Statements,Spouse,Apartment,Sedan,Jewelry,Previous Claims,Previous Applications,High Risk Area,Medium Risk,No Indicators,Denied,Report study pattern material.
Larry Dixon,1960-12-27,"PSC 6523, Box 3024
APO AE 10457",,Life Insurance,69455,2022-01-31 20:22:41,Online,700364,391,99065,Driver's License,Pay Stub,Tax Return,Spouse,Apartment,Truck,Stocks,No Claims,No Applications,High Risk Area,Low Risk,Suspicious Activity,Approved,Former seek memory still husband.
Ethan Jenkins,1966-01-22,"USCGC Sawyer
FPO AP 02910",,Life Insurance,91908,2021-09-26 11:10:15,Online,794871,344,44241,Driver's License,Pay Stub,Bank Statements,None,Apartment,Truck,Artwork,No Claims,No Applications,High Risk Area,High Risk,Suspicious Activity,Approved,Conference hour scientist effect story month call.
Troy Johnson,1965-05-28,"5931 Davis Harbors Suite 846
North Katelyn, IL 12861",490-63-3407,Mortgage,51335,2021-11-20 08:55:03,Online,140093,318,97624,Driver's License,Letter of Employment,Bank Statements,Spouse,Single-Family Home,Sedan,Stocks,No Claims,Previous Applications,Low Risk Area,High Risk,No Indicators,Denied,Buy keep sure store would each compare.
Justin Warner,1967-09-20,"3885 Yolanda Summit
Port Kimberlyshire, NV 12388",792-87-7767,Auto Loan,39739,2021-09-28 04:00:57,Online,633167,749,48977,Passport,Pay Stub,Bank Statements,Spouse,Apartment,Sedan,Artwork,No Claims,No Applications,High Risk Area,Low Risk,Red Flags,Further Investigation,Can past training item drug bring.
Heather Gillespie,1993-07-21,"9963 Perez Estates Suite 495
Guerreroton, ID 67987",,Auto Loan,29770,2022-07-21 06:13:59,In-Person,690965,786,36528,Passport,Pay Stub,Tax Return,None,Apartment,Sedan,Artwork,No Claims,Previous Applications,High Risk Area,Medium Risk,No Indicators,Approved,Ok town during realize.
Ms. Rachel Bennett DDS,1977-08-19,"8391 Anna Mount
Davidview, DC 36959",,Auto Loan,17336,2023-01-05 15:44:54,In-Person,171837,735,79951,Passport,Pay Stub,Bank Statements,Child,Condo,SUV,Stocks,No Claims,Previous Applications,High Risk Area,Medium Risk,Red Flags,Further Investigation,These stock still scene price.
Matthew Walton,1967-12-24,"1410 Robinson Parkways Suite 898
Lake Carl, OR 34217",,Auto Loan,13176,2020-09-15 22:15:22,In-Person,601330,783,17771,Passport,Pay Stub,Bank Statements,Child,Single-Family Home,Truck,Artwork,Previous Claims,Previous Applications,Low Risk Area,Low Risk,No Indicators,Further Investigation,Although travel until as.
John Hamilton,1972-07-01,"6921 Porter Radial
Mikeland, MI 85161",,Auto Loan,84411,2020-07-23 17:21:03,In-Person,466650,679,93676,Driver's License,Letter of Employment,Bank Statements,Spouse,Condo,Truck,Jewelry,Previous Claims,Previous Applications,High Risk Area,Low Risk,Suspicious Activity,Further Investigation,Finish rate ten according tonight.
William Reese,2000-03-21,"154 Cox River
Hollandport, WV 96312",617-45-7514,Auto Loan,4390,2020-12-29 14:04:31,In-Person,35064,578,65416,Driver's License,Letter of Employment,Bank Statements,Child,Single-Family Home,Truck,Jewelry,No Claims,No Applications,High Risk Area,Low Risk,No Indicators,Denied,Dinner land off job evidence as executive.
Shawn Hebert,1966-08-31,"9615 Sandra Center
Port Susan, WV 61406",439-21-7515,Mortgage,2664,2023-10-05 03:28:01,In-Person,103622,731,11166,Passport,Letter of Employment,Tax Return,None,Apartment,Sedan,Stocks,No Claims,No Applications,High Risk Area,Medium Risk,No Indicators,Denied,Source view indeed start.
Daniel Gonzales,1968-06-16,"37543 Roy Parkways Suite 923
Anthonyton, WI 46946",,Auto Loan,44805,2021-08-26 05:47:00,In-Person,720736,693,68227,Driver's License,Pay Stub,Tax Return,Spouse,Apartment,Truck,Jewelry,No Claims,No Applications,High Risk Area,High Risk,Suspicious Activity,Further Investigation,Free total training position almost.
Michael Walker,1959-07-22,"79362 Catherine Haven
Stantonmouth, MA 16835",,Life Insurance,85353,2020-04-02 01:39:43,In-Person,544990,315,44134,Passport,Letter of Employment,Tax Return,Child,Single-Family Home,Truck,Stocks,No Claims,Previous Applications,High Risk Area,Medium Risk,Red Flags,Denied,Page them quickly message.
Christian Spears,1970-03-02,"8935 Johnson Hollow Suite 139
Michellefurt, NC 48448",507-19-3225,Mortgage,57244,2021-09-02 00:50:35,In-Person,73348,463,4024,Passport,Pay Stub,Tax Return,Spouse,Apartment,Sedan,Jewelry,Previous Claims,No Applications,Low Risk Area,Medium Risk,Red Flags,Approved,Attention worry good stock relationship building popular card.
Rebecca Morales,1953-09-13,"83499 Alexis Gardens Suite 626
North Shannon, TX 59732",,Auto Loan,54371,2022-01-18 07:04:25,In-Person,177900,323,96485,Passport,Pay Stub,Bank Statements,None,Apartment,Sedan,Stocks,Previous Claims,No Applications,High Risk Area,Low Risk,Red Flags,Approved,Book want top performance country after effort move.
Kevin Estrada,1961-11-17,"Unit 9434 Box 4056
DPO AP 43745",,Mortgage,60232,2022-07-01 09:00:29,Online,585567,781,26223,Passport,Pay Stub,Bank Statements,None,Single-Family Home,Truck,Artwork,No Claims,No Applications,High Risk Area,High Risk,No Indicators,Denied,Service PM enter create recent blue.
Cynthia Costa,1958-04-26,"9353 David Shoal Suite 897
West Kristen, HI 13271",121-07-9560,Auto Loan,8489,2023-09-02 13:29:21,Online,947218,761,6804,Passport,Pay Stub,Bank Statements,None,Single-Family Home,Sedan,Stocks,No Claims,Previous Applications,High Risk Area,Medium Risk,Red Flags,Approved,Wear total election movement role current.
Stephanie Ferguson,1979-06-19,"10252 Ellis Views Suite 294
Jacobmouth, HI 30946",343-76-1374,Auto Loan,14645,2020-05-21 05:10:23,In-Person,483624,746,53343,Driver's License,Pay Stub,Tax Return,Child,Condo,SUV,Artwork,No Claims,No Applications,High Risk Area,Low Risk,No Indicators,Approved,Artist white behind ability major.
Charlene Nguyen,1990-09-26,"5199 Robert Flats Apt. 699
Jayview, WV 03348",119-63-8708,Life Insurance,88498,2022-09-27 16:17:47,Online,987612,389,40833,Passport,Letter of Employment,Bank Statements,None,Single-Family Home,SUV,Jewelry,No Claims,Previous Applications,Low Risk Area,High Risk,Red Flags,Further Investigation,In hold start people.
Mary Baker,1986-09-07,"USCGC Sanchez
FPO AE 19517",,Auto Loan,45613,2020-03-13 23:00:05,Online,160580,344,59747,Driver's License,Pay Stub,Bank Statements,Spouse,Single-Family Home,Truck,Artwork,No Claims,No Applications,High Risk Area,High Risk,Suspicious Activity,Denied,Represent walk good without lay agent particularly.
Alexander Rodriguez,2000-12-07,"687 Priscilla Terrace
Dannyville, AR 16036",,Life Insurance,99884,2022-05-26 16:17:18,Online,572611,622,23969,Passport,Pay Stub,Tax Return,Spouse,Condo,Truck,Artwork,Previous Claims,Previous Applications,Low Risk Area,Medium Risk,Suspicious Activity,Denied,Finally pull note wear move bank.
Albert Newton,1988-07-26,"4720 Miller Forest Apt. 424
Marissaview, NY 31712",183-48-7193,Life Insurance,91428,2020-02-02 06:18:54,Online,672127,335,11307,Passport,Pay Stub,Bank Statements,None,Single-Family Home,Sedan,Stocks,Previous Claims,No Applications,Low Risk Area,Medium Risk,Suspicious Activity,Approved,Product attention enjoy human nor professor all.
Alejandro Coleman,2003-03-21,"123 Sarah Springs
Michellechester, SC 58286",,Mortgage,28225,2020-08-23 22:43:45,Online,914067,482,62196,Driver's License,Letter of Employment,Tax Return,None,Apartment,Truck,Jewelry,No Claims,Previous Applications,High Risk Area,High Risk,No Indicators,Denied,Step sense this camera.
